accession,name,url,organism_name,infraspecific_name,asm_name
GCA_023334415.1,GCA_023334415.1 Phytopythium chamaehyphon strain=CBS 259.30 ASM2333441v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/415/GCA_023334415.1_ASM2333441v1,Phytopythium chamaehyphon,strain=CBS 259.30,ASM2333441v1
GCA_023337545.1,GCA_023337545.1 Pythium coloratum strain=CBS 154.64 ASM2333754v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/337/545/GCA_023337545.1_ASM2333754v1,Pythium coloratum,strain=CBS 154.64,ASM2333754v1
GCA_023336355.1,GCA_023336355.1 Pythium dissotocum strain=CBS 166.68 ASM2333635v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/355/GCA_023336355.1_ASM2333635v1,Pythium dissotocum,strain=CBS 166.68,ASM2333635v1
GCA_023336255.1,GCA_023336255.1 Pythium graminicola strain=CBS 327.62 ASM2333625v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/255/GCA_023336255.1_ASM2333625v1,Pythium graminicola,strain=CBS 327.62,ASM2333625v1
GCA_023336345.1,GCA_023336345.1 Pythium inflatum strain=CBS 168.68 ASM2333634v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/345/GCA_023336345.1_ASM2333634v1,Pythium inflatum,strain=CBS 168.68,ASM2333634v1
GCA_023334085.1,GCA_023334085.1 Globisporangium middletonii strain=CBS 528.74 ASM2333408v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/085/GCA_023334085.1_ASM2333408v1,Globisporangium middletonii,strain=CBS 528.74,ASM2333408v1
GCA_025583705.1,GCA_025583705.1 Pythium myriotylum strain=N14 ASM2558370v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/583/705/GCA_025583705.1_ASM2558370v1,Pythium myriotylum,strain=N14,ASM2558370v1
GCA_023091665.1,GCA_023091665.1 Pythium myriotylum strain=PRI180062 ASM2309166v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/091/665/GCA_023091665.1_ASM2309166v1,Pythium myriotylum,strain=PRI180062,ASM2309166v1
GCA_023336135.1,GCA_023336135.1 Pythium myriotylum strain=CBS 254.70 ASM2333613v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/135/GCA_023336135.1_ASM2333613v1,Pythium myriotylum,strain=CBS 254.70,ASM2333613v1
GCA_023334075.1,GCA_023334075.1 Globisporangium nunn strain=CBS 808.96 ASM2333407v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/075/GCA_023334075.1_ASM2333407v1,Globisporangium nunn,strain=CBS 808.96,ASM2333407v1
GCA_023336075.1,GCA_023336075.1 Pythium periplocum strain=CBS 289.31 ASM2333607v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/075/GCA_023336075.1_ASM2333607v1,Pythium periplocum,strain=CBS 289.31,ASM2333607v1
GCA_023334975.1,GCA_023334975.1 Globisporangium sylvaticum strain=CBS 453.67 ASM2333497v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/975/GCA_023334975.1_ASM2333497v1,Globisporangium sylvaticum,strain=CBS 453.67,ASM2333497v1
GCA_023334535.1,GCA_023334535.1 Pythium vanterpoolii strain=CBS 295.37 ASM2333453v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/535/GCA_023334535.1_ASM2333453v1,Pythium vanterpoolii,strain=CBS 295.37,ASM2333453v1
GCA_023334575.1,GCA_023334575.1 Pythium volutum strain=CBS 699.83 ASM2333457v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/575/GCA_023334575.1_ASM2333457v1,Pythium volutum,strain=CBS 699.83,ASM2333457v1
GCA_036939415.1,GCA_036939415.1 Detonula confervacea strain=CCMP975 ASM3693941v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/939/415/GCA_036939415.1_ASM3693941v1,Detonula confervacea,strain=CCMP975,ASM3693941v1
GCA_036939375.1,GCA_036939375.1 Detonula confervacea strain=CCMP995 ASM3693937v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/939/375/GCA_036939375.1_ASM3693937v1,Detonula confervacea,strain=CCMP995,ASM3693937v1
GCA_027475705.1,GCA_027475705.1 Pythium catenulatum strain=Rm9-06 ASM2747570v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/475/705/GCA_027475705.1_ASM2747570v1,Pythium catenulatum,strain=Rm9-06,ASM2747570v1
GCA_947650345.1,GCA_947650345.1 Peronospora destructor Pd1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/650/345/GCA_947650345.1_Pd1,Peronospora destructor,na,Pd1
GCA_036850685.1,GCA_036850685.1 Aurantiochytrium limacinum strain=BL10 Aurantiochytrium limacinum BL10 v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/850/685/GCA_036850685.1_Aurantiochytrium_limacinum_BL10_v1,Aurantiochytrium limacinum,strain=BL10,Aurantiochytrium limacinum BL10 v1
GCA_038051855.1,GCA_038051855.1 Cyclospora cayetanensis USDA_Mex32,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/051/855/GCA_038051855.1_USDA_Mex32,Cyclospora cayetanensis,na,USDA_Mex32
GCA_023335885.1,GCA_023335885.1 Pythium porphyrae strain=CBS 369.79 ASM2333588v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/335/885/GCA_023335885.1_ASM2333588v1,Pythium porphyrae,strain=CBS 369.79,ASM2333588v1
GCA_963575745.1,GCA_963575745.1 Polarella glacialis Prorocentrum_cordatum_CCMP1329,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/745/GCA_963575745.1_Prorocentrum_cordatum_CCMP1329,Polarella glacialis,na,Prorocentrum_cordatum_CCMP1329
GCA_030068145.1,GCA_030068145.1 Diplonema papillatum ecotype=Porter Dp_PB-MI_190104_dedup_cut_l100,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/068/145/GCA_030068145.1_Dp_PB-MI_190104_dedup_cut_l100,Diplonema papillatum,ecotype=Porter,Dp_PB-MI_190104_dedup_cut_l100
GCA_023336165.1,GCA_023336165.1 Pythium monospermum strain=CBS 158.73 ASM2333616v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/165/GCA_023336165.1_ASM2333616v1,Pythium monospermum,strain=CBS 158.73,ASM2333616v1
GCA_037833945.1,GCA_037833945.1 Alaria marginata ASM3783394v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/833/945/GCA_037833945.1_ASM3783394v1,Alaria marginata,na,ASM3783394v1
GCA_935751465.1,GCA_935751465.1 uncultured eukaryote ERR7738185_bin.37,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/935/751/465/GCA_935751465.1_ERR7738185_bin.37,uncultured eukaryote,na,ERR7738185_bin.37
GCA_935752815.1,GCA_935752815.1 uncultured eukaryote ERR7745403_bin.115,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/935/752/815/GCA_935752815.1_ERR7745403_bin.115,uncultured eukaryote,na,ERR7745403_bin.115
GCA_937894295.1,GCA_937894295.1 uncultured eukaryote SRR1955887_bin.63_CONCOCT_v1.1_MAG,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/894/295/GCA_937894295.1_SRR1955887_bin.63_CONCOCT_v1.1_MAG,uncultured eukaryote,na,SRR1955887_bin.63_CONCOCT_v1.1_MAG
GCA_935750815.1,GCA_935750815.1 uncultured eukaryote ERR7738596_bin.291_merged_10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/935/750/815/GCA_935750815.1_ERR7738596_bin.291_merged_10,uncultured eukaryote,na,ERR7738596_bin.291_merged_10
GCA_937872625.1,GCA_937872625.1 uncultured eukaryote ERR1726919_bin.5_CONCOCT_v1.1_MAG,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/872/625/GCA_937872625.1_ERR1726919_bin.5_CONCOCT_v1.1_MAG,uncultured eukaryote,na,ERR1726919_bin.5_CONCOCT_v1.1_MAG
GCA_947538855.1,GCA_947538855.1 uncultured eukaryote BIN1-Stramenopiles-HRSG-E12-bin-61,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/538/855/GCA_947538855.1_BIN1-Stramenopiles-HRSG-E12-bin-61,uncultured eukaryote,na,BIN1-Stramenopiles-HRSG-E12-bin-61
GCA_023335875.1,GCA_023335875.1 Elongisporangium prolatum strain=CBS 845.68 ASM2333587v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/335/875/GCA_023335875.1_ASM2333587v1,Elongisporangium prolatum,strain=CBS 845.68,ASM2333587v1
GCA_023336405.1,GCA_023336405.1 Globisporangium echinulatum strain=CBS 281.64 ASM2333640v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/405/GCA_023336405.1_ASM2333640v1,Globisporangium echinulatum,strain=CBS 281.64,ASM2333640v1
GCA_023334105.1,GCA_023334105.1 Globisporangium nodosum strain=CBS 102274 ASM2333410v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/105/GCA_023334105.1_ASM2333410v1,Globisporangium nodosum,strain=CBS 102274,ASM2333410v1
GCA_023334055.1,GCA_023334055.1 Globisporangium ornacarpum strain=CBS 112350 ASM2333405v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/055/GCA_023334055.1_ASM2333405v1,Globisporangium ornacarpum,strain=CBS 112350,ASM2333405v1
GCA_035584435.1,GCA_035584435.1 Egregia menziesii ASM3558443v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/584/435/GCA_035584435.1_ASM3558443v1,Egregia menziesii,na,ASM3558443v1
GCA_037834295.1,GCA_037834295.1 Postelsia palmaeformis ASM3783429v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/834/295/GCA_037834295.1_ASM3783429v1,Postelsia palmaeformis,na,ASM3783429v1
GCA_024679105.1,GCA_024679105.1 Phytophthora boehmeriae strain=Pboeh_OSU-2014 ASM2467910v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/105/GCA_024679105.1_ASM2467910v1,Phytophthora boehmeriae,strain=Pboeh_OSU-2014,ASM2467910v1
GCA_030141585.1,GCA_030141585.1 Ophryocystis elektroscirrha ASM3014158v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/141/585/GCA_030141585.1_ASM3014158v1,Ophryocystis elektroscirrha,na,ASM3014158v1
GCA_023337775.1,GCA_023337775.1 Pythium aquatile strain=CBS 215.80 ASM2333777v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/337/775/GCA_023337775.1_ASM2333777v1,Pythium aquatile,strain=CBS 215.80,ASM2333777v1
GCA_026401375.1,GCA_026401375.1 Pythium insidiosum strain=Pi050C3 ASM2640137v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/401/375/GCA_026401375.1_ASM2640137v1,Pythium insidiosum,strain=Pi050C3,ASM2640137v1
GCA_026401395.1,GCA_026401395.1 Pythium insidiosum strain=Pi057C3 ASM2640139v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/401/395/GCA_026401395.1_ASM2640139v1,Pythium insidiosum,strain=Pi057C3,ASM2640139v1
GCA_022836835.1,GCA_022836835.1 Pythium insidiosum ASM2283683v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/836/835/GCA_022836835.1_ASM2283683v1,Pythium insidiosum,na,ASM2283683v1
GCA_001029375.2,GCA_001029375.2 Pythium insidiosum strain=Pi-S Pythium_PINS_2.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/375/GCA_001029375.2_Pythium_PINS_2.0,Pythium insidiosum,strain=Pi-S,Pythium_PINS_2.0
GCA_023334135.1,GCA_023334135.1 Globisporangium erinaceum strain=CBS 505.80 ASM2333413v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/135/GCA_023334135.1_ASM2333413v1,Globisporangium erinaceum,strain=CBS 505.80,ASM2333413v1
GCA_023336215.1,GCA_023336215.1 Globisporangium iwayamae strain=CBS 156.64 ASM2333621v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/215/GCA_023336215.1_ASM2333621v1,Globisporangium iwayamae,strain=CBS 156.64,ASM2333621v1
GCA_023336125.1,GCA_023336125.1 Globisporangium mamillatum strain=CBS 251.28 ASM2333612v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/125/GCA_023336125.1_ASM2333612v1,Globisporangium mamillatum,strain=CBS 251.28,ASM2333612v1
GCA_038050575.1,GCA_038050575.1 Globisporangium mamillatum strain=CBS 251.28, DAOMC BR648 ASM3805057v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/050/575/GCA_038050575.1_ASM3805057v1,Globisporangium mamillatum,strain=CBS 251.28, DAOMC BR648,ASM3805057v1
GCA_023334015.1,GCA_023334015.1 Globisporangium paddicum strain=CBS 698.83 ASM2333401v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/015/GCA_023334015.1_ASM2333401v1,Globisporangium paddicum,strain=CBS 698.83,ASM2333401v1
GCA_023334565.1,GCA_023334565.1 Globisporangium ultimum var. sporangiiferum strain=CBS 219.65 ASM2333456v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/565/GCA_023334565.1_ASM2333456v1,Globisporangium ultimum var. sporangiiferum,strain=CBS 219.65,ASM2333456v1
GCA_031213475.1,GCA_031213475.1 Nereocystis luetkeana uoNerLuet1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/213/475/GCA_031213475.1_uoNerLuet1.0,Nereocystis luetkeana,na,uoNerLuet1.0
GCA_024679155.1,GCA_024679155.1 Phytophthora melonis strain=Pmelo_OSU-2014 ASM2467915v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/155/GCA_024679155.1_ASM2467915v1,Phytophthora melonis,strain=Pmelo_OSU-2014,ASM2467915v1
GCA_024211575.1,GCA_024211575.1 Phytophthora melonis strain=CJ26 Pm_CJ26_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/211/575/GCA_024211575.1_Pm_CJ26_1.0,Phytophthora melonis,strain=CJ26,Pm_CJ26_1.0
GCA_023333865.1,GCA_023333865.1 Globisporangium perplexum strain=CBS 674.85 ASM2333386v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/333/865/GCA_023333865.1_ASM2333386v1,Globisporangium perplexum,strain=CBS 674.85,ASM2333386v1
GCA_029452305.1,GCA_029452305.1 Hyaloperonospora parasitica strain=BJ2020 CAASIVF_Hyap_BJ2020,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/452/305/GCA_029452305.1_CAASIVF_Hyap_BJ2020,Hyaloperonospora parasitica,strain=BJ2020,CAASIVF_Hyap_BJ2020
GCA_024867545.1,GCA_024867545.1 Phytopythium helicoides ASM2486754v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/867/545/GCA_024867545.1_ASM2486754v1,Phytopythium helicoides,na,ASM2486754v1
GCA_023338155.1,GCA_023338155.1 Phytopythium helicoides strain=CBS 286.31 ASM2333815v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/338/155/GCA_023338155.1_ASM2333815v1,Phytopythium helicoides,strain=CBS 286.31,ASM2333815v1
GCA_023337975.1,GCA_023337975.1 Phytopythium ostracodes strain=CBS 768.73 ASM2333797v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/337/975/GCA_023337975.1_ASM2333797v1,Phytopythium ostracodes,strain=CBS 768.73,ASM2333797v1
GCA_023334555.1,GCA_023334555.1 Elongisporangium undulatum strain=CBS 157.69 ASM2333455v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/555/GCA_023334555.1_ASM2333455v1,Elongisporangium undulatum,strain=CBS 157.69,ASM2333455v1
GCA_024679175.1,GCA_024679175.1 Phytophthora cajani strain=Pcaja_OSU-2014 ASM2467917v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/175/GCA_024679175.1_ASM2467917v1,Phytophthora cajani,strain=Pcaja_OSU-2014,ASM2467917v1
GCA_033557915.1,GCA_033557915.1 Phytophthora tentaculata HumboldtARI_Pten_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/557/915/GCA_033557915.1_HumboldtARI_Pten_1.0,Phytophthora tentaculata,na,HumboldtARI_Pten_1.0
GCA_947646735.1,GCA_947646735.1 Peronospora farinosa Pf2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/646/735/GCA_947646735.1_Pf2,Peronospora farinosa,na,Pf2
GCA_920940705.1,GCA_920940705.1 Peronospora farinosa pf1_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/920/940/705/GCA_920940705.1_pf1_v1,Peronospora farinosa,na,pf1_v1
GCA_023337755.1,GCA_023337755.1 Pythium aristosporum strain=CBS 263.38 ASM2333775v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/337/755/GCA_023337755.1_ASM2333775v1,Pythium aristosporum,strain=CBS 263.38,ASM2333775v1
GCA_023336395.1,GCA_023336395.1 Elongisporangium dimorphum strain=CBS 406.72 ASM2333639v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/395/GCA_023336395.1_ASM2333639v1,Elongisporangium dimorphum,strain=CBS 406.72,ASM2333639v1
GCA_037830525.1,GCA_037830525.1 Nannochloropsis oceanica strain=CCAP849/10 LANL_Noce84910_1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/830/525/GCA_037830525.1_LANL_Noce84910_1.1,Nannochloropsis oceanica,strain=CCAP849/10,LANL_Noce84910_1.1
GCA_023334115.1,GCA_023334115.1 Globisporangium megalacanthum strain=CBS 101356 ASM2333411v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/115/GCA_023334115.1_ASM2333411v1,Globisporangium megalacanthum,strain=CBS 101356,ASM2333411v1
GCA_023333755.1,GCA_023333755.1 Globisporangium uncinulatum strain=CBS 518.77 ASM2333375v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/333/755/GCA_023333755.1_ASM2333375v1,Globisporangium uncinulatum,strain=CBS 518.77,ASM2333375v1
GCA_023337495.1,GCA_023337495.1 Pythium diclinum strain=CBS 664.79 ASM2333749v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/337/495/GCA_023337495.1_ASM2333749v1,Pythium diclinum,strain=CBS 664.79,ASM2333749v1
GCA_023336095.1,GCA_023336095.1 Pythium pectinolyticum strain=CBS 122643 ASM2333609v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/095/GCA_023336095.1_ASM2333609v1,Pythium pectinolyticum,strain=CBS 122643,ASM2333609v1
GCA_001638955.2,GCA_001638955.2 Euglena gracilis var. bacillaris strain=SAG 1224-5/15 Euglena_mito_Newbler,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/638/955/GCA_001638955.2_Euglena_mito_Newbler,Euglena gracilis var. bacillaris,strain=SAG 1224-5/15,Euglena_mito_Newbler
GCA_036939335.1,GCA_036939335.1 Conticribra guillardii strain=CCMP988 ASM3693933v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/939/335/GCA_036939335.1_ASM3693933v1,Conticribra guillardii,strain=CCMP988,ASM3693933v1
GCA_037575995.1,GCA_037575995.1 Lingulodinium polyedra ASM3757599v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/575/995/GCA_037575995.1_ASM3757599v1,Lingulodinium polyedra,na,ASM3757599v1
GCA_947650285.1,GCA_947650285.1 Hyaloperonospora brassicae Hp1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/650/285/GCA_947650285.1_Hp1,Hyaloperonospora brassicae,na,Hp1
GCA_937658345.1,GCA_937658345.1 Tetramitus jugosus paTetJugo1.1 alternate haplotype,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/658/345/GCA_937658345.1_paTetJugo1.1_alternate_haplotype,Tetramitus jugosus,na,paTetJugo1.1 alternate haplotype
GCA_937625935.1,GCA_937625935.1 Tetramitus jugosus paTetJugo1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/625/935/GCA_937625935.1_paTetJugo1.1,Tetramitus jugosus,na,paTetJugo1.1
GCA_037834435.1,GCA_037834435.1 Laminaria setchellii ASM3783443v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/834/435/GCA_037834435.1_ASM3783443v1,Laminaria setchellii,na,ASM3783443v1
GCA_036873665.1,GCA_036873665.1 Laminaria sinclairii ASM3687366v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/873/665/GCA_036873665.1_ASM3687366v1,Laminaria sinclairii,na,ASM3687366v1
GCA_032273145.1,GCA_032273145.1 Pterygophora californica ASM3227314v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/273/145/GCA_032273145.1_ASM3227314v1,Pterygophora californica,na,ASM3227314v1
GCA_023336285.1,GCA_023336285.1 Pythium grandisporangium strain=CBS 286.79 ASM2333628v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/285/GCA_023336285.1_ASM2333628v1,Pythium grandisporangium,strain=CBS 286.79,ASM2333628v1
GCA_024679115.1,GCA_024679115.1 Phytophthora pistaciae strain=Ppist_OSU-2014 ASM2467911v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/115/GCA_024679115.1_ASM2467911v1,Phytophthora pistaciae,strain=Ppist_OSU-2014,ASM2467911v1
GCA_024679025.1,GCA_024679025.1 Phytophthora hibernalis strain=Phibe_OSU-2014 ASM2467902v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/025/GCA_024679025.1_ASM2467902v1,Phytophthora hibernalis,strain=Phibe_OSU-2014,ASM2467902v1
GCA_030463285.1,GCA_030463285.1 Phytophthora europaea strain=Peuro_OSU-2014 ASM3046328v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/463/285/GCA_030463285.1_ASM3046328v1,Phytophthora europaea,strain=Peuro_OSU-2014,ASM3046328v1
GCA_024679075.1,GCA_024679075.1 Phytophthora uliginosa strain=Pulig_OSU-2014 ASM2467907v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/075/GCA_024679075.1_ASM2467907v1,Phytophthora uliginosa,strain=Pulig_OSU-2014,ASM2467907v1
GCA_023334035.1,GCA_023334035.1 Globisporangium okanoganense strain=CBS 315.81 ASM2333403v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/035/GCA_023334035.1_ASM2333403v1,Globisporangium okanoganense,strain=CBS 315.81,ASM2333403v1
GCA_023334305.1,GCA_023334305.1 Globisporangium canariense strain=CBS 112353 ASM2333430v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/305/GCA_023334305.1_ASM2333430v1,Globisporangium canariense,strain=CBS 112353,ASM2333430v1
GCA_023334255.1,GCA_023334255.1 Globisporangium cylindrosporum strain=CBS 218.94 ASM2333425v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/255/GCA_023334255.1_ASM2333425v1,Globisporangium cylindrosporum,strain=CBS 218.94,ASM2333425v1
GCA_038050675.1,GCA_038050675.1 Globisporangium cylindrosporum strain=DAOMC BR1052 ASM3805067v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/050/675/GCA_038050675.1_ASM3805067v1,Globisporangium cylindrosporum,strain=DAOMC BR1052,ASM3805067v1
GCA_949320175.1,GCA_949320175.1 uncultured ciliate uncultured ciliate KLAE1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/320/175/GCA_949320175.1_uncultured_ciliate_KLAE1,uncultured ciliate,na,uncultured ciliate KLAE1
GCA_949319515.1,GCA_949319515.1 uncultured ciliate uncultured ciliate KLAE4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/319/515/GCA_949319515.1_uncultured_ciliate_KLAE4,uncultured ciliate,na,uncultured ciliate KLAE4
GCA_949320205.1,GCA_949320205.1 uncultured ciliate uncultured ciliate KLAE3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/320/205/GCA_949320205.1_uncultured_ciliate_KLAE3,uncultured ciliate,na,uncultured ciliate KLAE3
GCA_949320135.1,GCA_949320135.1 uncultured ciliate uncultured ciliate KLAE5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/320/135/GCA_949320135.1_uncultured_ciliate_KLAE5,uncultured ciliate,na,uncultured ciliate KLAE5
GCA_949319695.1,GCA_949319695.1 uncultured ciliate uncultured ciliate KLAE2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/319/695/GCA_949319695.1_uncultured_ciliate_KLAE2,uncultured ciliate,na,uncultured ciliate KLAE2
GCA_024679045.1,GCA_024679045.1 Phytophthora brassicae strain=Pbras_OSU-2014 ASM2467904v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/679/045/GCA_024679045.1_ASM2467904v1,Phytophthora brassicae,strain=Pbras_OSU-2014,ASM2467904v1
GCA_023334355.1,GCA_023334355.1 Globisporangium abappressorium strain=CBS 110198 ASM2333435v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/355/GCA_023334355.1_ASM2333435v1,Globisporangium abappressorium,strain=CBS 110198,ASM2333435v1
GCA_023334275.1,GCA_023334275.1 Globisporangium carolinianum strain=CBS 122659 ASM2333427v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/275/GCA_023334275.1_ASM2333427v1,Globisporangium carolinianum,strain=CBS 122659,ASM2333427v1
GCA_032432875.1,GCA_032432875.1 Phytophthora meadii strain=Pm 19 ASM3243287v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/432/875/GCA_032432875.1_ASM3243287v1,Phytophthora meadii,strain=Pm 19,ASM3243287v1
GCA_030180075.1,GCA_030180075.1 Mikrocytos mackini Mmack_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/180/075/GCA_030180075.1_Mmack_1.0,Mikrocytos mackini,na,Mmack_1.0
GCA_027243975.1,GCA_027243975.1 Cryptosporidium canis ASM2724397v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/243/975/GCA_027243975.1_ASM2724397v1,Cryptosporidium canis,na,ASM2724397v1
GCA_027243985.1,GCA_027243985.1 Cryptosporidium canis ASM2724398v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/243/985/GCA_027243985.1_ASM2724398v1,Cryptosporidium canis,na,ASM2724398v1
GCA_027243965.1,GCA_027243965.1 Cryptosporidium canis ASM2724396v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/243/965/GCA_027243965.1_ASM2724396v1,Cryptosporidium canis,na,ASM2724396v1
GCA_947331455.1,GCA_947331455.1 Plasmodium cf. malariae strain=PmlGA01 pvivPvl01,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/331/455/GCA_947331455.1_pvivPvl01,Plasmodium cf. malariae,strain=PmlGA01,pvivPvl01
GCA_022925895.1,GCA_022925895.1 Fragilaria crotonensis strain=SAG 28.96 ASM2292589v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/925/895/GCA_022925895.1_ASM2292589v1,Fragilaria crotonensis,strain=SAG 28.96,ASM2292589v1
